id,track_id,track_artist,artist_clean,track_name,track_name_clean,artist_track_key,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,type
2plbrEY59IikOBgBGLjaoe,2plbrEY59IikOBgBGLjaoe,"lady gaga, bruno mars",lady gaga bruno mars,die with a smile,die with a smile,lady gaga bruno mars_die with a smile,0.592,157.969,0.521,pop,-7.777,0.122,0.535,3,0.0304,100,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,Die With A Smile,2024-08-16T00:00:00Z,0,10FLjwfpbxLmW8c25Xyc2N,0,6,251668,0.308,audio_features
6dOtVTDdiauQNBQEDOtlAB,6dOtVTDdiauQNBQEDOtlAB,billie eilish,billie eilish,birds of a feather,birds of a feather,billie eilish_birds of a feather,0.507,104.978,0.747,pop,-10.171,0.117,0.438,4,0.0358,97,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,2024-05-17T00:00:00Z,0.0608,7aJuG4TFXa2hmE4z1yxc3n,1,2,210373,0.2,audio_features
7ne4VBA60CxGM75vw0EYad,7ne4VBA60CxGM75vw0EYad,gracie abrams,gracie abrams,that’s so true,thats so true,gracie abrams_thats so true,0.808,108.548,0.554,pop,-4.169,0.159,0.372,4,0.0368,93,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,spotify:track:7ne4VBA60CxGM75vw0EYad,The Secret of Us (Deluxe),2024-10-18T00:00:00Z,0,0hBRqPYPXhr1RkTDG3n4Mk,1,1,166300,0.214,audio_features
1d7Ptw3qYcfpdLNL5REhtJ,1d7Ptw3qYcfpdLNL5REhtJ,sabrina carpenter,sabrina carpenter,taste,taste,sabrina carpenter_taste,0.91,112.966,0.67,pop,-4.07,0.304,0.786,4,0.0634,81,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ,Short n' Sweet,2024-08-23T00:00:00Z,0,4B4Elma4nNDUyl6D5PvQkj,0,0,157280,0.0939,audio_features
5vNRhkKd0yEAg8suGBpjeY,5vNRhkKd0yEAg8suGBpjeY,"rosé, bruno mars",rose bruno mars,apt.,apt,rose bruno mars_apt,0.783,149.027,0.777,pop,-4.477,0.355,0.939,4,0.26,98,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,APT.,2024-10-18T00:00:00Z,0,2IYQwwgxgOIn7t3iF6ufFD,0,0,169917,0.0283,audio_features
0WbMK4wrZ1wFSty9F7FCgu,0WbMK4wrZ1wFSty9F7FCgu,chappell roan,chappell roan,"good luck, babe!",good luck babe,chappell roan_good luck babe,0.582,116.712,0.7,pop,-5.96,0.0881,0.785,4,0.0356,94,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",2024-04-05T00:00:00Z,0,1WAjjRMfZjEXtB0lQrAw6Q,0,11,218424,0.0502,audio_features
6MzofobZt2dm0Kf1hTThFz,6MzofobZt2dm0Kf1hTThFz,addison rae,addison rae,diet pepsi,diet pepsi,addison rae_diet pepsi,0.561,150.069,0.669,pop,-6.538,0.0954,0.841,4,0.0411,88,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz,spotify:track:6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,2024-08-09T00:00:00Z,0.00962,0XA403JTounqFh2owquBXu,1,10,169698,0.495,audio_features
3QaPy1KgI7nu9FJEQUgn6h,3QaPy1KgI7nu9FJEQUgn6h,billie eilish,billie eilish,wildflower,wildflower,billie eilish_wildflower,0.247,148.101,0.467,pop,-12.002,0.17,0.126,4,0.0431,93,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,HIT ME HARD AND SOFT,2024-05-17T00:00:00Z,2.71E-4,7aJuG4TFXa2hmE4z1yxc3n,0,6,261467,0.612,audio_features
0UYnhUfnUj5adChuAXvLUB,0UYnhUfnUj5adChuAXvLUB,gigi perez,gigi perez,sailor song,sailor song,gigi perez_sailor song,0.416,94.926,0.492,pop,-10.439,0.203,0.297,4,0.0254,71,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB,spotify:track:0UYnhUfnUj5adChuAXvLUB,Sailor Song,2024-07-26T00:00:00Z,8.61E-5,4DWrYvfGXRE8ko5ZxlIpit,1,11,211979,0.686,audio_features
1Es7AUAhQvapIcoh3qMKDL,1Es7AUAhQvapIcoh3qMKDL,"the weeknd, playboi carti",the weeknd playboi carti,timeless (with playboi carti),timeless with playboi carti,the weeknd playboi carti_timeless with playboi carti,0.722,119.973,0.769,pop,-5.485,0.111,0.57,4,0.0507,92,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL,Timeless,2024-09-27T00:00:00Z,2.56E-6,2IRxVVqbSbqHJo8Zx50LYn,0,11,256000,0.0584,audio_features
